date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:21:57	6999/6999	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202016%2023:21:58%20GMT	http://currenswatch.com/success?order_id=9fe3e66c73-0cf98a9130-7295d5eb1f-a18142cf8d	C:/Users/Vnl/Desktop/11q%2022/23/currenswatch.com/success5828.html	(from )
02:21:58	235/235	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202016%2023:21:58%20GMT	http://currenswatch.com/robots.txt		(from )
02:21:58	7982/7982	---MCZ	200	added ('OK')	text/css	etag:%2255b8aba0-1f2e%22	http://currenswatch.com/files/_default/success/RU/css/style.min.css?1	C:/Users/Vnl/Desktop/11q%2022/23/currenswatch.com/files/_default/success/RU/css/style.minc4ca.css	(from http://currenswatch.com/success?order_id=9fe3e66c73-0cf98a9130-7295d5eb1f-a18142cf8d)
02:21:59	1935/1935	---MCZ	200	added ('OK')	application/x-javascript	etag:%2255154681-78f%22	http://currenswatch.com/files/_default/success/RU/js/script.js?2	C:/Users/Vnl/Desktop/11q%2022/23/currenswatch.com/files/_default/success/RU/js/scriptc81e.js	(from http://currenswatch.com/success?order_id=9fe3e66c73-0cf98a9130-7295d5eb1f-a18142cf8d)
02:21:59	93107/93107	---MCZ	200	added ('OK')	application/x-javascript	etag:%2255154681-16bb3%22	http://currenswatch.com/files/_default/success/RU/js/jquery-latest.min.js	C:/Users/Vnl/Desktop/11q%2022/23/currenswatch.com/files/_default/success/RU/js/jquery-latest.min.js	(from http://currenswatch.com/success?order_id=9fe3e66c73-0cf98a9130-7295d5eb1f-a18142cf8d)
02:22:06	1279/1279	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202016%2023:22:06%20GMT	http://currenswatch.com/moreinfo?order_id=9fe3e66c73-0cf98a9130-7295d5eb1f-a18142cf8d	C:/Users/Vnl/Desktop/11q%2022/23/currenswatch.com/moreinfo5828.html	(from http://currenswatch.com/success?order_id=9fe3e66c73-0cf98a9130-7295d5eb1f-a18142cf8d)
02:22:06	5910/5910	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202016%2023:22:06%20GMT	http://currenswatch.com/privacypolicy	C:/Users/Vnl/Desktop/11q%2022/23/currenswatch.com/privacypolicy.html	(from http://currenswatch.com/success?order_id=9fe3e66c73-0cf98a9130-7295d5eb1f-a18142cf8d)
02:22:06	6144/6144	---MC-	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2023:22:07%20GMT	http://a.marketgid.com/mgsensor.js?d=	C:/Users/Vnl/Desktop/11q%2022/23/a.marketgid.com/mgsensor2b1d.js	(from http://currenswatch.com/success?order_id=9fe3e66c73-0cf98a9130-7295d5eb1f-a18142cf8d)
02:22:07	6142/6142	---MC-	200	added ('OK')	application/x-javascript	date:Mon,%2022%20Feb%202016%2023:22:07%20GMT	http://a.tovarro.com/mgsensor.js?d=	C:/Users/Vnl/Desktop/11q%2022/23/a.tovarro.com/mgsensor2b1d.js	(from http://currenswatch.com/success?order_id=9fe3e66c73-0cf98a9130-7295d5eb1f-a18142cf8d)
02:22:09	26299/26299	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Feb%202016%2000:31:28%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Vnl/Desktop/11q%2022/23/www.google-analytics.com/analytics.js	(from http://currenswatch.com/success?order_id=9fe3e66c73-0cf98a9130-7295d5eb1f-a18142cf8d)
